# f   r_rk4
0.004008 0.050568
0.008016 0.076016
0.012024 0.064259
0.016032 0.047345
0.020040 0.065697
0.024048 0.151628
0.028056 0.062224
0.032064 0.136457
0.036072 0.095105
0.040080 0.076555
0.044088 0.207347
0.048096 0.367246
0.052104 0.080243
0.056112 0.330657
0.060120 0.245242
0.064128 0.202815
0.068136 0.281673
0.072144 0.168870
0.076152 0.149171
0.080160 0.167427
0.084168 0.134170
0.088176 0.088262
0.092184 0.065030
0.096192 0.161632
0.100200 0.233572
0.104208 0.109573
0.108216 0.205287
0.112224 0.156869
0.116232 0.087742
0.120240 0.177411
0.124248 0.155160
0.128257 0.150509
0.132265 0.138941
0.136273 0.124569
0.140281 0.120059
0.144289 0.114006
0.148297 0.108774
0.152305 0.106618
0.156313 0.100023
0.160321 0.103545
0.164329 0.092706
0.168337 0.089342
0.172345 0.085352
0.176353 0.085601
0.180361 0.081441
0.184369 0.080205
0.188377 0.078401
0.192385 0.076246
0.196393 0.074495
0.200401 0.069174
0.204409 0.072923
0.208417 0.065004
0.212425 0.067504
0.216433 0.064992
0.220441 0.063542
0.224449 0.061812
0.228457 0.063710
0.232465 0.061807
0.236473 0.060045
0.240481 0.059305
0.244489 0.056682
0.248497 0.056500
0.252505 0.056180
0.256513 0.051756
0.260521 0.050825
0.264529 0.050875
0.268537 0.049044
0.272545 0.050806
0.276553 0.048612
0.280561 0.048680
0.284569 0.047099
0.288577 0.046912
0.292585 0.044245
0.296593 0.040353
0.300601 0.035832
0.304609 0.042249
0.308617 0.037018
0.312625 0.033891
0.316633 0.036204
0.320641 0.035266
0.324649 0.035334
0.328657 0.033272
0.332665 0.032680
0.336673 0.032202
0.340681 0.031210
0.344689 0.029777
0.348697 0.028886
0.352705 0.028478
0.356713 0.026616
0.360721 0.025023
0.364729 0.023944
0.368737 0.023794
0.372745 0.023433
0.376754 0.944772
0.380762 0.947035
0.384770 0.948188
0.388778 0.947285
0.392786 0.947212
0.396794 0.948367
0.400802 0.948866
0.404810 0.946063
0.408818 0.948645
0.412826 0.949907
0.416834 0.947578
0.420842 0.948960
0.424850 0.947547
0.428858 0.947200
0.432866 0.797743
0.436874 0.795106
0.440882 0.946595
0.444890 0.946818
0.448898 0.803476
0.452906 0.945365
0.456914 0.799353
0.460922 0.804498
0.464930 0.804960
0.468938 0.804753
0.472946 0.800120
0.476954 0.806111
0.480962 0.805311
0.484970 0.800369
0.488978 0.804348
0.492986 0.804512
0.496994 0.805595
0.501002 0.817988
0.505010 0.802604
0.509018 0.801344
0.513026 0.797868
0.517034 0.826302
0.521042 0.793937
0.525050 0.797703
0.529058 0.858251
0.533066 0.946668
0.537074 0.944651
0.541082 0.946586
0.545090 0.948088
0.549098 0.949120
0.553106 0.949336
0.557114 0.949551
0.561122 0.949456
0.565130 0.950160
0.569138 0.950757
0.573146 0.951388
0.577154 0.951217
0.581162 0.950404
0.585170 0.949496
0.589178 0.950247
0.593186 0.949308
0.597194 0.946079
0.601202 0.947190
0.605210 0.946407
0.609218 0.787194
0.613226 0.787903
0.617234 0.788279
0.621242 0.792513
0.625251 0.791690
0.629259 0.791209
0.633267 0.793896
0.637275 0.793274
0.641283 0.797583
0.645291 0.795389
0.649299 0.790314
0.653307 0.794635
0.657315 0.795626
0.661323 0.801205
0.665331 0.800482
0.669339 0.800948
0.673347 0.801118
0.677355 0.802589
0.681363 0.802034
0.685371 0.805594
0.689379 0.803650
0.693387 0.802252
0.697395 0.806080
0.701403 0.802811
0.705411 0.805233
0.709419 0.803110
0.713427 0.805192
0.717435 0.806030
0.721443 0.805942
0.725451 0.802779
0.729459 0.802602
0.733467 0.803579
0.737475 0.801961
0.741483 0.801318
0.745491 0.802669
0.749499 0.800354
0.753507 0.802067
0.757515 0.798349
0.761523 0.800637
0.765531 0.796542
0.769539 0.795723
0.773547 0.795038
0.777555 0.793897
0.781563 0.793262
0.785571 0.798519
0.789579 0.792045
0.793587 0.797115
0.797595 0.790487
0.801603 0.792835
0.805611 0.788545
0.809619 0.792201
0.813627 0.794386
0.817635 0.786392
0.821643 0.785856
0.825651 0.788466
0.829659 0.789190
0.833667 0.789175
0.837675 0.786621
0.841683 0.901341
0.845691 0.784650
0.849699 0.946439
0.853707 0.779238
0.857715 0.945639
0.861723 0.946816
0.865731 0.949342
0.869739 0.947885
0.873747 0.948143
0.877756 0.948830
0.881764 0.948426
0.885772 0.948577
0.889780 0.948161
0.893788 0.949256
0.897796 0.951005
0.901804 0.949984
0.905812 0.950570
0.909820 0.949021
0.913828 0.950625
0.917836 0.951807
0.921844 0.952414
0.925852 0.950261
0.929860 0.952751
0.933868 0.952474
0.937876 0.952916
0.941884 0.952933
0.945892 0.948609
0.949900 0.952914
0.953908 0.952563
0.957916 0.952749
0.961924 0.952746
0.965932 0.952754
0.969940 0.952547
0.973948 0.952311
0.977956 0.952366
0.981964 0.952572
0.985972 0.952695
0.989980 0.952414
0.993988 0.952475
0.997996 0.952316
1.002004 0.952235
